internalCode	providerCode	name	provider	neto	iva	netoIva	minimumTotal	sellPrice	stock	minimumStock
10781	DF009	SENSOR TPS DW MULTIPUNTO DELPHI CD00123	IMP MARIN	21.026	3.995	25.021	49.128	45.000		
11471	U011	SET VARILLAS ALZA VALVULAS 14,8CM	BRM	1.090	207	1.297	2.547	2.500		
10782	O610102	SHAMPOO DE AUTO 500ML	REP AUSTRAL	975	185	1.160	2.278	2.500		
10783	O610115	SHAMPOO DE AUTO BIDON 2 LKTS	REP AUSTRAL	1.300	247	1.547	3.038	3.500		
10784	O630101	SILICONA GREY CPI - USA 85 GR	REP AUSTRAL	1.525	290	1.815	3.563	3.500		
10785	596-80	SILICONA ROJA 80ML	RODACAR	1.092	207	1.299	2.552	2.500		
10786	O610106	SILICONA TABLERO 450ML SURTIDO	REP AUSTRAL	1.185	225	1.410	2.769	2.700		
11258	O610108	SILICONA TABLERO ABRILLANTADORA 200 ML NARANJA	REP AUSTRAL	1.051	200	1.251	2.456	2.500		
11014	SIL-325-VAIN	SILICONA TABLERO LUBRISTON 325ML	RODACAR	1.680	319	1.999	3.925	3.000		
11331	O610168	SILICONA TABLERO NEUTRA 450ML 	REP AUSTRAL	1.165	221	1.386	2.722	2.800		
11359	O630104	SILICONA TRANSPARENTE CPI-USA 85 GRS 	REP AUSTRAL	1.118	212	1.330	2.612	2.900		
10787	5699-80	SILICONA ULTRA GREY 80ML	RODACAR	2.479	471	2.950	5.792	4.500		
10788	MC265	SOPORTE CAJA CENTRAL TY YARIS	V TAPIA	5.220	992	6.212	12.197	12.500		
10789	NI2228	SOPORTE CAJA NISSAN V16	V TAPIA	2.590	492	3.082	6.052	7.000		
10790	NI721	SOPORTE CREMALLERA HIDRAULICA V16	V TAPIA	600	114	714	1.402	1.500		
10791	NI722	SOPORTE CREMALLERA IZQ NISSAN V16	V TAPIA	1.200	228	1.428	2.804	3.500		
10792	NI720	SOPORTE CREMAYERA NISSAN V16	V TAPIA	790	150	940	1.846	2.500		
10793	8-94222-867-2	SOPORTE MOTOR DELANTERO DERECHO CHEV LUV 89-98 4ZA1-4ZD1	ALSACIA	7.460	1.417	8.877	17.431	17.000		
10997	21910-25010	SOPORTE MOTOR DELANTERO HY ACCENT PRIME 1,3-1,5 SOHC 99-03	ALSACIA	5.950	1.131	7.081	13.902	13.500		
10794	8-94222-868-2	SOPORTE MOTOR DELANTERO IZQ CHEV LUV 89-98 4ZA1-4ZD1 1,6-2,3	ALSACIA	7.870	1.495	9.365	18.389	18.000		
10998	21811-43200	SOPORTE MOTOR HY H100 GRACE VAN TODOS L-H 	ALSACIA	7.890	1.499	9.389	18.435	17.900		
10999	21812-43200	SOPORTE MOTOR HY H100 GRACE VAN TODOS R/H	ALSACIA	7.760	1.474	9.234	18.132	17.600		
10795	MC264	SOPORTE MOTOR IZQ TY YARIS 2000	V TAPIA	5.150	979	6.129	12.033	12.000		
10796	MO138	SOPORTE MOTOR LADO DERECHO V16	V TAPIA	2.590	492	3.082	6.052	6.500		
10797	MO139	SOPORTE MOTOR NISSAN V16	V TAPIA	2.390	454	2.844	5.584	6.000		
10912	O156806	SOQUETE	REP AUSTRAL	500	95	595	1.168	1.200		
10913	O156886	SOQUETE 1 CONTACTO CON DOS ALETAS	REP AUSTRAL	185	35	220	432	700		
10914	O156848	SOQUETE 3 PINES CERAMICO	REP AUSTRAL	433	82	515	1.012	1.200		
10915	O156855	SOQUETE 9008 H13	REP AUSTRAL	807	153	960	1.886	2.500		
11403	77183	SOQUETE AMPOLETA H11 NEGRO	MERCOCHILE	1.420	270	1.690	3.318	3.500		
11219	RS14	SOQUETE AMPOLLETA 1 CONTACTO PLASTICO	MERCOCHILE	220	42	262	514	900		
10916	CH-009-LH012	SOQUETE AMPOLLETA 9004 CABLE 15MM NYLON	IMBRA	320	61	381	748	1.000		
10972	1109	SOQUETE AMPOLLETA 9004 PORCELANA	BRM	369	70	439	862	1.200		
10917	O020412	SOQUETE AMPOLLETA 9004/9007 FLOSSER	REP AUSTRAL	1.815	345	2.160	4.241	4.500		
10918	CH-015-SQ1217	SOQUETE AMPOLLETA COLA PESCADO T5 12V 	IMBRA	120	23	143	280	600		
10919	O30010272	SOQUETE AMPOLLETA COLA PESCADP T10 CABLE 40CM	BENLUB	378	72	450	883	1.000		
10955	1002	SOQUETE AMPOLLETA H4 DE LOZA 	BRM	340	65	405	794	1.200		
10409	O40010049	SOQUETE AMPOLLETA H4 LOZA	BENLUB	420	80	500	981	1.000		
10921	CH-009-LH001	SOQUETE AMPOLLETA H7 CABLE 18MM CERAMICA	IMBRA	240	46	286	561	1.000		
11661	24030	SOQUETE AMPOLLETA T10	BRM	225	43	268	526	1.000		
11663	7310	SOQUETE AMPOLLETA T10	BRM	199	38	237	465	1.000		
